Dates,DJIA CLOSE,SP500 CLOSE
6/21/2019 17:30,26796.05,2953.07
6/21/2019 19:30,26793.13,2955.41
6/21/2019 21:30,26719.13,2950.46
6/24/2019 15:30,26773.89,2952.92
6/24/2019 17:30,26753.29,2949.97
6/24/2019 19:30,26747.13,2947.11
6/24/2019 21:30,26727.54,2945.35
6/25/2019 15:30,26685.95,2935.24
6/25/2019 17:30,26641.22,2930.29
6/25/2019 19:30,26572.53,2922.46
6/25/2019 21:30,26548.22,2917.38
6/26/2019 15:30,26616.42,2924.01
6/26/2019 17:30,26601.97,2919.56
6/26/2019 19:30,26582.26,2916.11
6/26/2019 21:30,26536.82,2913.78
6/27/2019 15:30,26484.63,2919.96
6/27/2019 17:30,26588.83,2927.86
6/27/2019 19:30,26560.47,2925.63
6/27/2019 21:30,26526.58,2924.92
6/28/2019 15:30,26580.08,2932.92
6/28/2019 17:30,26588.8,2936.3
6/28/2019 19:30,26535.76,2931.85
6/28/2019 21:30,26599.96,2941.76
7/1/2019 15:30,26719.45,2961.83
7/1/2019 17:30,26663.32,2957.18
7/1/2019 19:30,26690.55,2960.47
7/1/2019 21:30,26717.43,2964.33
7/2/2019 15:30,26709.27,2964.61
7/2/2019 17:30,26701.36,2963.02
7/2/2019 19:30,26719.04,2966.21
7/2/2019 21:30,26786.68,2973.01
7/3/2019 15:30,26872.21,2986.14
7/3/2019 17:30,26966,2995.82
7/3/2019 19:30,26966,2995.82
7/5/2019 15:30,26828.96,2977.72
7/5/2019 17:30,26918.99,2987.4
7/5/2019 19:30,26927.89,2991.17
7/5/2019 21:30,26922.12,2990.41
7/8/2019 15:30,26799.5,2975.39
7/8/2019 17:30,26791.73,2973.68
7/8/2019 19:30,26806.94,2975.91
7/8/2019 21:30,26806.14,2975.95
7/9/2019 15:30,26708.03,2973.33
7/9/2019 17:30,26727.46,2974.42
7/9/2019 19:30,26726.83,2973.54
7/9/2019 21:30,26783.49,2979.63
7/10/2019 15:30,26835.72,2987.02
7/10/2019 17:30,26883.78,2994.63
7/10/2019 19:30,26858.72,2991.22
7/10/2019 21:30,26860.2,2993.07
7/11/2019 15:30,27042.23,2999.76
7/11/2019 17:30,27021.24,2994.17
7/11/2019 19:30,27033.01,2994.31
7/11/2019 21:30,27088.08,2999.91
7/12/2019 15:30,27232.75,3006.5
7/12/2019 17:30,27236.65,3007.07
7/12/2019 19:30,27286.44,3009.56
7/12/2019 21:30,27332.03,3013.77
7/15/2019 15:30,27320.61,3012.25
7/15/2019 17:30,27301.13,3009.99
7/15/2019 19:30,27332.47,3011.82
7/15/2019 21:30,27359.16,3014.3
7/16/2019 15:30,27363.69,3010.45
7/16/2019 17:30,27359.26,3008.01
7/16/2019 19:30,27359.12,3005.27
7/16/2019 21:30,27335.63,3004.04
7/17/2019 15:30,27274.74,2994.73
7/17/2019 17:30,27287.88,2995.25
7/17/2019 19:30,27242.71,2988.37
7/17/2019 21:30,27219.85,2984.42
7/18/2019 15:30,27116.67,2978.46
7/18/2019 17:30,27136.88,2982.57
7/18/2019 19:30,27205.13,2992.7
7/18/2019 21:30,27222.97,2995.11
7/19/2019 15:30,27281.53,2997.25
7/19/2019 17:30,27300.72,2996.44
7/19/2019 19:30,27218.08,2983.88
7/19/2019 21:30,27154.2,2976.61
7/22/2019 15:30,27119.07,2978.59
7/22/2019 17:30,27162.22,2984.41
7/22/2019 19:30,27172.04,2986.05
7/22/2019 21:30,27171.9,2985.03
7/23/2019 15:30,27245.52,2992.54
7/23/2019 17:30,27245.86,2994.58
7/23/2019 19:30,27351.4,3003.61
7/23/2019 21:30,27349.19,3005.47
7/24/2019 15:30,27222.55,3004.83
7/24/2019 17:30,27230.37,3009.86
7/24/2019 19:30,27250.57,3017.4
7/24/2019 21:30,27269.97,3019.56
7/25/2019 15:30,27181.67,3010.27
7/25/2019 17:30,27102.7,3002.12
7/25/2019 19:30,27129.17,3004.09
7/25/2019 21:30,27140.98,3003.67
7/26/2019 15:30,27159.66,3020.4
7/26/2019 17:30,27155.24,3023.43
7/26/2019 19:30,27197.68,3026.55
7/26/2019 21:30,27192.45,3025.86
7/29/2019 15:30,27268.2,3021.23
7/29/2019 17:30,27257.42,3021.79
7/29/2019 19:30,27216.82,3019.73
7/29/2019 21:30,27221.35,3020.97
7/30/2019 15:30,27184.93,3012.6
7/30/2019 17:30,27156.33,3009.89
7/30/2019 19:30,27172.69,3010.61
7/30/2019 21:30,27198.02,3013.18
7/31/2019 15:30,27210.42,3014.84
7/31/2019 17:30,27211.68,3014.99
7/31/2019 19:30,26977.78,2995.67
7/31/2019 21:30,26864.27,2980.38
8/1/2019 15:30,27147.98,3012.51
8/1/2019 17:30,26940.42,2987.24
8/1/2019 19:30,26635.25,2960.19
8/1/2019 21:30,26583.42,2953.56
8/2/2019 15:30,26322.38,2922.96
8/2/2019 17:30,26334.22,2920.43
8/2/2019 19:30,26468.28,2933.34
8/2/2019 21:30,26485.01,2932.05
8/5/2019 15:30,25931.48,2870.56
8/5/2019 17:30,25775.23,2853.6
8/5/2019 19:30,25645.1,2837.89
8/5/2019 21:30,25717.74,2844.74
8/6/2019 15:30,25773.75,2854.92
8/6/2019 17:30,25883.38,2865.7
8/6/2019 19:30,25969.12,2876.36
8/6/2019 21:30,26029.52,2881.77
8/7/2019 15:30,25722.93,2857.87
8/7/2019 17:30,25826.69,2864.26
8/7/2019 19:30,26026.23,2886.66
8/7/2019 21:30,26007.07,2883.98
8/8/2019 15:30,26217.13,2918.31
8/8/2019 17:30,26281.09,2926.19
8/8/2019 19:30,26287.76,2928.91
8/8/2019 21:30,26378.19,2938.09
8/9/2019 15:30,26097.64,2902.07
8/9/2019 17:30,26321.2,2922.83
8/9/2019 19:30,26372.06,2927.81
8/9/2019 21:30,26287.44,2918.65
8/12/2019 15:30,26025.3,2894.25
8/12/2019 17:30,26018.45,2893.41
8/12/2019 19:30,25883.4,2881.07
8/12/2019 21:30,25896.44,2882.69
8/13/2019 15:30,26253.39,2920.53
8/13/2019 17:30,26300.56,2927.95
8/13/2019 19:30,26297.29,2929.52
8/13/2019 21:30,26279.91,2926.32
8/14/2019 15:30,25698.85,2862.58
8/14/2019 17:30,25649.66,2855.34
8/14/2019 19:30,25560.25,2848.28
8/14/2019 21:30,25479.42,2840.6
8/15/2019 15:30,25510.67,2845
8/15/2019 17:30,25526.42,2844.33
8/15/2019 19:30,25542.85,2845.37
8/15/2019 21:30,25579.39,2847.6
8/16/2019 15:30,25848.2,2885.53
8/16/2019 17:30,25883.99,2890.95
8/16/2019 19:30,25843.96,2886.66
8/16/2019 21:30,25886.01,2888.68
8/19/2019 15:30,26168.12,2925.07
8/19/2019 17:30,26178.54,2929.01
8/19/2019 19:30,26165.37,2926.46
8/19/2019 21:30,26135.79,2923.65
8/20/2019 15:30,26114.8,2918.93
8/20/2019 17:30,26086.91,2915.97
8/20/2019 19:30,26056.93,2909.64
8/20/2019 21:30,25962.44,2900.51
8/21/2019 15:30,26226.42,2925.37
8/21/2019 17:30,26236.19,2925.68
8/21/2019 19:30,26192.71,2922.64
8/21/2019 21:30,26202.73,2924.43
8/22/2019 15:30,26165.1,2913.31
8/22/2019 17:30,26288.49,2926.1
8/22/2019 19:30,26266.72,2925.07
8/22/2019 21:30,26252.24,2922.95
8/23/2019 15:30,25905.96,2881.79
8/23/2019 17:30,25721.5,2859.31
8/23/2019 19:30,25665.57,2852.53
8/23/2019 21:30,25628.9,2847.11
8/26/2019 15:30,25845.71,2869.29
8/26/2019 17:30,25864.48,2873.21
8/26/2019 19:30,25823.83,2869.62
8/26/2019 21:30,25898.83,2878.38
8/27/2019 15:30,25868.1,2875.2
8/27/2019 17:30,25787.64,2868.03
8/27/2019 19:30,25798.08,2870.49
8/27/2019 21:30,25777.9,2869.16
8/28/2019 15:30,25966.15,2884.96
8/28/2019 17:30,25979.03,2883.75
8/28/2019 19:30,25998.91,2885.06
8/28/2019 21:30,26036.1,2887.94
8/29/2019 15:30,26332.46,2921.16
8/29/2019 17:30,26365.3,2925.5
8/29/2019 19:30,26340.07,2922.03
8/29/2019 21:30,26362.25,2924.58
8/30/2019 15:30,26319.32,2916.65
8/30/2019 17:30,26387.53,2923.83
8/30/2019 19:30,26363.74,2922.09
8/30/2019 21:30,26403.28,2926.46
9/3/2019 15:30,26061.46,2902.58
9/3/2019 17:30,26048.81,2900.85
9/3/2019 19:30,26102.94,2903.45
9/3/2019 21:30,26118.02,2906.27
9/4/2019 15:30,26326.58,2930.72
9/4/2019 17:30,26331.95,2933.78
9/4/2019 19:30,26343.85,2935.76
9/4/2019 21:30,26355.47,2937.78
9/5/2019 15:30,26799.8,2978.6
9/5/2019 17:30,26773.01,2976.52
9/5/2019 19:30,26772.62,2979.87
9/5/2019 21:30,26728.15,2976
9/6/2019 15:30,26811.51,2981.45
9/6/2019 17:30,26845.67,2983.9
9/6/2019 19:30,26829.92,2983.5
9/6/2019 21:30,26797.46,2978.71
9/9/2019 15:30,26881.36,2984.16
9/9/2019 17:30,26788.04,2973.35
9/9/2019 19:30,26839.36,2976.91
9/9/2019 21:30,26835.51,2978.43
9/10/2019 15:30,26751.53,2959.44
9/10/2019 17:30,26810.19,2969.15
9/10/2019 19:30,26798.46,2965.73
9/10/2019 21:30,26909.43,2979.39
9/11/2019 15:30,26980.21,2987.81
9/11/2019 17:30,27032.99,2994.37
9/11/2019 19:30,27066.36,2993.94
9/11/2019 21:30,27137.04,3000.93
9/12/2019 15:30,27219.46,3011.93
9/12/2019 17:30,27267.26,3017.57
9/12/2019 19:30,27241.36,3015.77
9/12/2019 21:30,27182.45,3009.57
9/13/2019 15:30,27242.81,3012.83
9/13/2019 17:30,27236.99,3010.53
9/13/2019 19:30,27212.64,3005.74
9/13/2019 21:30,27219.52,3007.39
9/16/2019 15:30,27114.52,2999.59
9/16/2019 17:30,27084.1,2996.58
9/16/2019 19:30,27074.51,2996.79
9/16/2019 21:30,27076.82,2997.96
9/17/2019 15:30,27043.73,2998.87
9/17/2019 17:30,27044.14,2996.62
9/17/2019 19:30,27070.39,3000.22
9/17/2019 21:30,27110.8,3005.7
9/18/2019 15:30,27047.4,2997.21
9/18/2019 17:30,27019.02,2992.5
9/18/2019 19:30,27050.45,2995.92
9/18/2019 21:30,27147.08,3006.73
9/19/2019 15:30,27240.11,3019.3
9/19/2019 17:30,27188.58,3014.08
9/19/2019 19:30,27132.32,3010.76
9/19/2019 21:30,27094.79,3006.79
9/20/2019 15:30,27139.57,3010.15
9/20/2019 17:30,27008.87,2996.45
9/20/2019 19:30,26991.53,2996.52
9/20/2019 21:30,26935.07,2992.07
9/23/2019 15:30,26944.11,2992.25
9/23/2019 17:30,26976,2995.92
9/23/2019 19:30,27000.77,2998.08
9/23/2019 21:30,26949.99,2991.78
9/24/2019 15:30,26967.32,2993.46
9/24/2019 17:30,26735.09,2959.78
9/24/2019 19:30,26770.28,2963.78
9/24/2019 21:30,26807.77,2966.6
9/25/2019 15:30,26950.19,2973.61
9/25/2019 17:30,26943.01,2974.74
9/25/2019 19:30,26978.52,2986.04
9/25/2019 21:30,26970.71,2984.87
9/26/2019 15:30,26836.51,2967.58
9/26/2019 17:30,26868.59,2971.23
9/26/2019 19:30,26958.83,2984.16
9/26/2019 21:30,26891.12,2977.62
9/27/2019 15:30,27002.17,2983.82
9/27/2019 17:30,26825.86,2961.04
9/27/2019 19:30,26755.14,2952.05
9/27/2019 21:30,26820.25,2961.79
